txn_id,market,shop_id,shop_subdivision,local_timestamp,amount,currency,payment_method,payment_ref,fiscal_seq
USA-0329-000019,USA,0329,US-TX,2026-03-28 14:52:00,67.07,USD,CARD,PZURKTBV6P76MH18,
DEU-1501-000004,DEU,1501,DE-BY,2026-10-30 14:48:00,82.52,EUR,CASH,,88335
NZL-0944-000008,NZL,0944,NZ-CAN,2026-02-26 14:45:00,84.78,NZD,CARD,VMFNJ374FQ2V6XV0,
DEU-1501-000017,DEU,1501,DE-BY,2026-11-13 13:50:00,108.87,EUR,CASH,,88337
JPN-0785-000010,JPN,0785,JP-27,2026-03-14 09:25:00,12000,JPY,CASH,,
DEU-1533-000011,DEU,1533,DE-BE,2026-09-05 10:17:00,113.42,EUR,CARD,PHXPNTGDGLBLKZE3,60423
DEU-1547-000036,DEU,1547,DE-HH,2026-04-08 11:14:00,92.15,EUR,CARD,ZHLSA1EA418UGNP9,73905
FRA-1288-000031,FRA,1288,FR-69,2026-08-15 15:02:00,93.16,EUR,CARD,WKF5BE3R9A7HUNCF,21064
FRA-1204-000019,FRA,1204,FR-75,2026-12-11 09:46:00,38.35,EUR,CARD,SBB9EXRBF432B312,44190
FRA-1204-000032,FRA,1204,FR-75,2026-04-28 10:36:00,46.59,EUR,CARD,JAPW6FRGT0SXSEKG,44174
USA-0455-000021,USA,0455,US-CA,2026-11-06 17:42:00,7.74,USD,CARD,83CNFYC84Y9EQ6KM,
JPN-0771-000022,JPN,0771,JP-13,2026-11-13 15:45:00,3200,JPY,CARD,CJL9JK4BW4TKESHM,
USA-0329-000034,USA,0329,US-TX,2026-07-11 15:11:00,106.32,USD,CARD,RF1AKX75BRH5T9TE,
JPN-0785-000008,JPN,0785,JP-27,2026-01-22 11:23:00,1450,JPY,CARD,JD62FAHAWTJZ172R,
NZL-0908-000026,NZL,0908,NZ-AUK,2026-05-27 14:57:00,32.06,NZD,CARD,7S7215WA6K07VR7A,
GBR-0501-000024,GBR,0501,GB-NIR,2026-12-11 09:34:00,55.38,GBP,CARD,HAKCL25RK0BFQ4R9,
JPN-0785-000017,JPN,0785,JP-27,2026-04-15 11:06:00,6500,JPY,CARD,69CW21W2XPBD7J3D,
NZL-0944-000017,NZL,0944,NZ-CAN,2026-05-18 09:25:00,88.05,NZD,CARD,VV8G7BHPF46ZLA6N,
DEU-1501-000020,DEU,1501,DE-BY,2026-12-09 09:04:00,19.12,EUR,CARD,3S2PLR2U5E3FWD0D,88338
FRA-1204-000004,FRA,1204,FR-75,2026-10-25 02:30:00,97.38,EUR,CARD,LZ4T2TB7MPEPB9UY,44185
JPN-0785-000026,JPN,0785,JP-27,2026-10-06 11:41:00,4800,JPY,CASH,,
FRA-1204-000033,FRA,1204,FR-75,2026-12-08 15:22:00,56.04,EUR,CARD,W2WT7UC0M71Q97RN,44189
GBR-0203-000011,GBR,0203,GB-ENG,2026-07-14 11:04:00,49.14,GBP,CARD,20FWTBMRPTWWPZ3A,
DEU-1501-000039,DEU,1501,DE-BY,2026-04-01 17:35:00,82.62,EUR,CARD,U2HJQ4SMRFVRR1YC,88324
GBR-0203-000036,GBR,0203,GB-ENG,2026-07-25 13:02:00,97.36,GBP,CARD,4BWR62ZQ2ASWLQL6,
NZL-0944-000034,NZL,0944,NZ-CAN,2026-06-27 13:36:00,116.66,NZD,CARD,2TNDSWR1X3Y1E2M0,
DEU-1547-000007,DEU,1547,DE-HH,2026-02-23 16:22:00,111.28,EUR,CARD,29PR210C1GPCP7UM,73902
JPN-0785-000014,JPN,0785,JP-27,2026-08-30 10:59:00,2200,JPY,CARD,B5ZAFCNDFEZHMGJX,
JPN-0771-000025,JPN,0771,JP-13,2026-03-02 12:07:00,2200,JPY,CARD,1FP1LNNVGMCFHVFR,
DEU-1547-000013,DEU,1547,DE-HH,2026-02-23 10:28:00,85.85,EUR,CARD,F1HMS70R4XUFNRMV,73901
JPN-0785-000023,JPN,0785,JP-27,2026-10-18 17:24:00,12000,JPY,CARD,SKWCWFKYDNPV7NMK,
DEU-1533-000033,DEU,1533,DE-BE,2026-05-23 10:43:00,51.10,EUR,CASH,,60413
NZL-0944-000028,NZL,0944,NZ-CAN,2026-12-04 17:05:00,53.63,NZD,CARD,MKMY3MT2Z3F2BDAS,
JPN-0771-000007,JPN,0771,JP-13,2026-06-07 16:44:00,1450,JPY,CASH,,
JPN-0771-000027,JPN,0771,JP-13,2026-12-01 15:46:00,6500,JPY,CASH,,
USA-0455-000039,USA,0455,US-CA,2026-02-26 14:48:00,80.22,USD,CARD,B093B0NLLMD14WUX,
FRA-1204-000006,FRA,1204,FR-75,2026-08-25 12:02:00,112.94,EUR,CARD,0WKT1DML1W2G8HGN,44182
JPN-0785-000031,JPN,0785,JP-27,2026-07-23 11:52:00,12000,JPY,CARD,3TSQ52BKMF44VXNF,
GBR-0388-000033,GBR,0388,GB-WLS,2026-01-03 16:15:00,13.99,GBP,CASH,,
NZL-0944-000009,NZL,0944,NZ-CAN,2026-11-29 16:11:00,51.83,NZD,CARD,WPLQH88W47SWHDS1,
NZL-0908-000029,NZL,0908,NZ-AUK,2026-03-19 10:47:00,111.86,NZD,CARD,Q29A525C7N269DD5,
USA-0329-000026,USA,0329,US-TX,2026-04-28 14:51:00,65.05,USD,CARD,NVYK03YD1RXSFUPZ,
NZL-0908-000022,NZL,0908,NZ-AUK,2026-06-06 16:17:00,116.02,NZD,CASH,,
DEU-1501-000037,DEU,1501,DE-BY,2026-06-16 14:16:00,25.17,EUR,CARD,CKKLBT297772X5G3,88330
GBR-0388-000018,GBR,0388,GB-WLS,2026-07-13 10:49:00,36.14,GBP,CARD,CFLDELFVK2LBJUA5,
FRA-1204-000034,FRA,1204,FR-75,2026-07-20 12:14:00,33.12,EUR,CARD,NH4RQFMJNM3A9H19,44179
GBR-0203-000010,GBR,0203,GB-ENG,2026-07-14 11:03:00,39.01,GBP,CARD,20FWTBMRPTWWPZ3A,
GBR-0442-000027,GBR,0442,GB-SCT,2026-11-06 11:51:00,61.16,GBP,CARD,T1WYCS7C9QCRGRR5,
DEU-1547-000026,DEU,1547,DE-HH,2026-03-08 16:46:00,51.80,EUR,CARD,2QRV59ET5BDSHBC4,73903
USA-0113-000032,USA,0113,US-NY,2026-12-21 13:32:00,27.58,USD,CARD,JY9D5D9QL98UA3PL,
JPN-0785-000002,JPN,0785,JP-27,2026-03-28 17:02:00,980,JPY,CARD,8T9LAZ01GLUZ2D3H,
DEU-1501-000038,DEU,1501,DE-BY,2026-12-18 14:23:00,58.15,EUR,CARD,2PSURRE2EEAXNL3J,88339
DEU-1547-000031,DEU,1547,DE-HH,2026-02-11 17:05:00,63.52,EUR,CARD,5QE1CD728E02DS4C,73900
GBR-0501-000022,GBR,0501,GB-NIR,2026-06-16 12:27:00,16.66,GBP,CARD,E0EVD57QPRRS8TFQ,
JPN-0785-000011,JPN,0785,JP-27,2026-08-24 12:36:00,980,JPY,CARD,B3NT313LC1XZEKC2,
JPN-0785-000024,JPN,0785,JP-27,2026-11-07 15:11:00,3200,JPY,CARD,94LWLBX8APTX4TT0,
GBR-0203-000025,GBR,0203,GB-ENG,2026-11-28 10:54:00,40.78,GBP,CARD,MQ3ZVBT9E5BMC051,
USA-0329-000020,USA,0329,US-TX,2026-08-01 17:33:00,47.73,USD,CARD,RMHLA36F9PRCWGE1,
